transaction_id,customer_id,purchase_date,purchase_amount,category,age,gender
TXN001142,CUST0160,2024-05-08,53.13,Clothing,56.0,Female
TXN001268,CUST0160,2024-11-27,190.39,Home,56.0,Female
TXN001476,CUST0160,2024-10-28,28.32,Food,56.0,Female
TXN002297,CUST0160,2024-10-31,83.69,Clothing,56.0,Female
TXN002658,CUST0160,2024-10-11,22.86,Beauty,56.0,Female
TXN003139,CUST0160,2024-06-09,26.84,Food,56.0,Female
TXN003263,CUST0160,2024-05-20,197.29,Electronics,56.0,Female
TXN003504,CUST0160,2025-02-17,90.17,Clothing,56.0,Female
TXN004472,CUST0160,2024-12-08,172.73,Electronics,56.0,Female
TXN000006,CUST0206,2024-05-21,60.56,Clothing,56.0,Female
TXN000067,CUST0206,2024-03-17,37.17,Food,56.0,Female
TXN000128,CUST0206,2024-12-06,80.66,Clothing,56.0,Female
TXN000590,CUST0206,2024-04-06,237.52,Home,56.0,Female
TXN000712,CUST0206,2024-09-19,205.27,Electronics,56.0,Female
TXN000817,CUST0206,2024-08-31,155.31,Electronics,56.0,Female
TXN000981,CUST0206,2024-05-06,74.12,Beauty,56.0,Female
TXN001491,CUST0206,2024-06-20,276.73,Electronics,56.0,Female
TXN002276,CUST0206,2024-12-11,44.18,Clothing,56.0,Female
TXN002857,CUST0206,2024-04-12,78.34,Electronics,56.0,Female
TXN003462,CUST0206,2024-11-24,56.41,Clothing,56.0,Female
TXN003528,CUST0206,2024-06-14,90.92,Food,56.0,Female
TXN000007,CUST0046,2024-08-07,165.32,Electronics,54.0,Male
TXN000394,CUST0046,2024-12-24,98.08,Books,54.0,Male
TXN000421,CUST0046,2025-01-23,106.79,Home,54.0,Male
TXN000469,CUST0046,2024-06-19,100.69,Books,54.0,Male
TXN000912,CUST0046,2024-09-04,95.83,Clothing,54.0,Male
TXN001838,CUST0046,2024-07-02,49.68,Beauty,54.0,Male
TXN001840,CUST0046,2024-03-19,215.79,Home,54.0,Male
TXN002291,CUST0046,2024-06-08,58.77,Food,54.0,Male
TXN002403,CUST0046,2024-08-18,230.21,Electronics,54.0,Male
TXN003955,CUST0046,2024-09-15,90.1,Clothing,54.0,Male
TXN004255,CUST0046,2024-11-03,79.65,Home,54.0,Male
TXN004375,CUST0046,2024-10-08,105.49,Books,54.0,Male
TXN004688,CUST0046,2024-04-17,53.24,Food,54.0,Male
TXN000008,CUST0448,2025-02-12,79.82,Books,19.0,Female
TXN000574,CUST0448,2024-08-18,90.51,Books,19.0,Female
TXN001813,CUST0448,2025-02-02,101.02,Books,19.0,Female
TXN001993,CUST0448,2024-06-04,43.97,Clothing,19.0,Female
TXN002853,CUST0448,2025-03-05,56.78,Clothing,19.0,Female
TXN002949,CUST0448,2024-07-31,83.31,Beauty,19.0,Female
TXN004581,CUST0448,2024-05-16,226.81,Electronics,19.0,Female
TXN000009,CUST0455,2024-05-18,57.78,Clothing,71.0,Male
TXN000082,CUST0455,2024-06-02,104.85,Electronics,71.0,Male
TXN000272,CUST0455,2025-02-16,39.5,Books,71.0,Male
TXN000540,CUST0455,2024-06-17,91.54,Clothing,71.0,Male
TXN000834,CUST0455,2024-08-24,119.82,Home,71.0,Male
TXN000863,CUST0455,2024-05-27,114.92,Electronics,71.0,Male
TXN001213,CUST0455,2024-12-20,70.64,Clothing,71.0,Male
TXN001961,CUST0455,2024-10-04,112.08,Food,71.0,Male
TXN002509,CUST0455,2024-08-02,75.56,Books,71.0,Male
TXN002686,CUST0455,2024-09-19,129.95,Electronics,71.0,Male
TXN004221,CUST0455,2024-10-21,133.77,Home,71.0,Male
TXN004516,CUST0455,2024-04-21,247.79,Home,71.0,Male
TXN000010,CUST0060,2025-02-03,107.61,Food,19.0,Female
TXN000572,CUST0060,2024-07-21,79.32,Electronics,19.0,Female
TXN000640,CUST0060,2024-03-11,81.84,Clothing,19.0,Female
TXN000816,CUST0060,2024-12-09,83.96,Food,19.0,Female
TXN001781,CUST0060,2024-04-08,219.13,Electronics,19.0,Female
TXN001803,CUST0060,2024-11-10,285.52,Home,19.0,Female
TXN002009,CUST0060,2024-06-01,59.13,Beauty,19.0,Female
TXN002794,CUST0060,2024-07-30,64.64,Books,19.0,Female
TXN003316,CUST0060,2024-04-28,63.75,Clothing,19.0,Female
TXN000011,CUST0404,2025-02-20,79.95,Beauty,52.0,Female
TXN000456,CUST0404,2024-04-03,59.72,Clothing,52.0,Female
TXN000992,CUST0404,2024-09-03,82.66,Food,52.0,Female
TXN001176,CUST0404,2024-08-05,44.41,Beauty,52.0,Female
TXN001259,CUST0404,2024-07-16,47.2,Clothing,52.0,Female
TXN001756,CUST0404,2024-03-20,231.89,Home,52.0,Female
TXN002032,CUST0404,2024-04-24,41.5,Food,52.0,Female
TXN002814,CUST0404,2024-09-23,43.79,Books,52.0,Female
TXN002900,CUST0404,2024-11-21,184.49,Home,52.0,Female
TXN004175,CUST0404,2024-05-25,107.4,Food,52.0,Female
TXN004556,CUST0404,2024-06-29,109.39,Clothing,52.0,Female
TXN000012,CUST0017,2024-03-17,29.18,Clothing,41.0,Male
TXN000282,CUST0017,2025-02-12,173.2,Home,41.0,Male
TXN000387,CUST0017,2024-05-03,95.17,Clothing,41.0,Male
TXN000751,CUST0017,2024-04-13,98.07,Clothing,41.0,Male
TXN000919,CUST0017,2024-08-06,31.11,Food,41.0,Male
TXN001651,CUST0017,2024-11-25,223.56,Electronics,41.0,Male
TXN002311,CUST0017,2024-09-25,79.29,Electronics,41.0,Male
TXN003190,CUST0017,2024-08-31,117.46,Clothing,41.0,Male
TXN003421,CUST0017,2025-01-23,73.35,Beauty,41.0,Male
TXN003572,CUST0017,2024-05-17,108.26,Home,41.0,Male
TXN004181,CUST0017,2024-05-30,182.27,Electronics,41.0,Male
TXN004422,CUST0017,2024-03-27,201.66,Electronics,41.0,Male
TXN004566,CUST0017,2024-06-24,78.46,Books,41.0,Male
TXN004714,CUST0017,2024-04-19,241.63,Electronics,41.0,Male
TXN004865,CUST0017,2024-03-19,94.43,Books,41.0,Male
TXN000013,CUST0022,2024-07-03,33.77,Clothing,,Male
TXN000041,CUST0022,2024-03-08,29.87,Beauty,,Male
TXN000515,CUST0022,2024-03-11,268.34,Electronics,,Male
TXN000708,CUST0022,2024-09-27,187.08,Food,,Male
TXN000763,CUST0022,2024-08-24,209.8,Clothing,,Male
TXN001090,CUST0022,2024-10-07,154.29,Beauty,,Male
TXN001238,CUST0022,2025-01-30,157.83,Clothing,,Male
TXN001579,CUST0022,2025-01-20,68.85,Food,,Male
TXN002337,CUST0022,2024-06-09,24.06,Clothing,,Male
TXN003163,CUST0022,2024-05-27,202.3,Clothing,,Male
TXN003804,CUST0022,2024-03-24,274.84,Home,,Male
TXN000014,CUST0175,2024-12-15,112.92,Home,47.0,Male
TXN000019,CUST0175,2024-05-28,255.94,Home,47.0,Male
TXN000073,CUST0175,2024-12-20,73.73,Clothing,47.0,Male
TXN001647,CUST0175,2024-11-11,135.26,Electronics,47.0,Male
TXN001674,CUST0175,2024-09-04,92.76,Home,47.0,Male
TXN001793,CUST0175,2024-03-09,101.13,Home,47.0,Male
TXN002105,CUST0175,2024-04-21,22.77,Books,47.0,Male
TXN002217,CUST0175,2025-01-01,159.16,Home,47.0,Male
TXN004179,CUST0175,2024-04-03,74.24,Books,47.0,Male
TXN004287,CUST0175,2024-11-22,47.73,Books,47.0,Male
TXN004420,CUST0175,2024-05-19,52.85,Clothing,47.0,Male
TXN004652,CUST0175,2024-03-08,40.28,Food,47.0,Male
TXN004721,CUST0175,2024-12-24,79.58,Clothing,47.0,Male
TXN000015,CUST0007,2024-04-03,24.26,Books,38.0,Female
TXN000563,CUST0007,2024-04-19,242.88,Home,38.0,Female
TXN001960,CUST0007,2024-09-21,87.48,Food,38.0,Female
TXN002626,CUST0007,2024-03-08,124.77,Electronics,38.0,Female
TXN003196,CUST0007,2024-11-08,74.52,Clothing,38.0,Female
TXN003470,CUST0007,2024-03-16,77.9,Food,38.0,Female
TXN003640,CUST0007,2024-10-23,28.93,Clothing,38.0,Female
TXN004030,CUST0007,2024-10-01,79.18,Food,38.0,Female
TXN004254,CUST0007,2024-09-23,35.3,Food,38.0,Female
TXN004802,CUST0007,2024-10-24,219.56,Home,38.0,Female
TXN000016,CUST0416,2024-05-02,23.17,Clothing,54.0,Female
TXN000766,CUST0416,2024-10-06,89.25,Food,54.0,Female
TXN001170,CUST0416,2024-09-10,173.31,Home,54.0,Female
TXN001200,CUST0416,2025-01-25,44.39,Books,54.0,Female
TXN001524,CUST0416,2024-05-29,100.09,Beauty,54.0,Female
TXN001956,CUST0416,2024-06-19,58.97,Clothing,54.0,Female
TXN002019,CUST0416,2024-08-15,80.08,Books,54.0,Female
TXN002184,CUST0416,2024-11-04,99.52,Books,54.0,Female
TXN002588,CUST0416,2024-04-17,133.78,Home,54.0,Female
TXN003207,CUST0416,2024-12-02,64.57,Books,54.0,Female
TXN003343,CUST0416,2024-12-21,64.42,Food,54.0,Female
TXN003723,CUST0416,2025-01-04,46.76,Food,54.0,Female
TXN004719,CUST0416,2024-12-27,200.48,Electronics,54.0,Female
TXN004833,CUST0416,2025-02-05,38.31,Clothing,54.0,Female
TXN000017,CUST0285,2024-03-09,64.04,Food,20.0,Male
TXN000718,CUST0285,2025-01-25,92.77,Books,20.0,Male
TXN001371,CUST0285,2024-12-04,88.5,Books,20.0,Male
TXN002756,CUST0285,2024-10-17,52.45,Food,20.0,Male
TXN002882,CUST0285,2024-07-04,80.01,Food,20.0,Male
TXN003227,CUST0285,2024-03-14,85.28,Books,20.0,Male
TXN004026,CUST0285,2025-01-14,95.18,Home,20.0,Male
TXN004289,CUST0285,2024-03-11,169.17,Home,20.0,Male
TXN004623,CUST0285,2024-08-02,34.87,Clothing,20.0,Male
TXN004860,CUST0285,2024-04-12,108.29,Home,20.0,Male
TXN000018,CUST0271,2024-12-15,164.56,Beauty,,Male
TXN000896,CUST0271,2024-11-07,153.13,Beauty,,Male
TXN001067,CUST0271,2024-06-07,170.41,Food,,Male
TXN001598,CUST0271,2024-05-04,128.25,Home,,Male
TXN001643,CUST0271,2024-04-07,91.29,Home,,Male
TXN002195,CUST0271,2024-06-21,354.57,Home,,Male
TXN002739,CUST0271,2024-12-30,151.13,Beauty,,Male
TXN003165,CUST0271,2024-07-26,79.36,Food,,Male
TXN003311,CUST0271,2025-02-15,79.69,Food,,Male
TXN003636,CUST0271,2024-06-13,476.58,Home,,Male
TXN004251,CUST0271,2024-05-16,30.53,Beauty,,Male
TXN004735,CUST0271,2024-06-23,18.37,Beauty,,Male
TXN004798,CUST0271,2025-02-12,156.47,Beauty,,Male
TXN004886,CUST0271,2024-11-22,177.12,Electronics,,Male
TXN000020,CUST0440,2024-06-05,89.92,Food,67.0,Female
TXN000367,CUST0440,2024-06-13,65.9,Food,67.0,Female
TXN000729,CUST0440,2024-10-02,225.82,Home,67.0,Female
TXN001528,CUST0440,2024-10-19,228.03,Electronics,67.0,Female
TXN001634,CUST0440,2025-01-03,99.54,Clothing,67.0,Female
TXN001913,CUST0440,2024-04-08,107.95,Home,67.0,Female
TXN002082,CUST0440,2024-12-04,99.18,Clothing,67.0,Female
TXN002095,CUST0440,2024-12-10,71.76,Beauty,67.0,Female
TXN002803,CUST0440,2024-08-29,99.48,Beauty,67.0,Female
TXN004726,CUST0440,2024-04-14,42.04,Beauty,67.0,Female
TXN004924,CUST0440,2024-11-09,51.52,Beauty,67.0,Female
TXN000021,CUST0262,2024-07-30,80.81,Home,23.0,Male
TXN000123,CUST0262,2024-07-26,97.24,Food,23.0,Male
TXN000309,CUST0262,2025-01-14,31.19,Food,23.0,Male
TXN002024,CUST0262,2024-09-15,180.97,Home,23.0,Male
TXN002401,CUST0262,2024-05-11,106.46,Electronics,23.0,Male
TXN002474,CUST0262,2024-12-12,287.1,Electronics,23.0,Male
TXN003046,CUST0262,2024-06-04,67.99,Clothing,23.0,Male
TXN003187,CUST0262,2024-09-09,106.11,Food,23.0,Male
TXN003346,CUST0262,2024-12-19,95.62,Books,23.0,Male
TXN004646,CUST0262,2025-01-28,56.75,Clothing,23.0,Male
TXN004788,CUST0262,2024-04-11,64.77,Books,23.0,Male
TXN000022,CUST0422,2024-03-20,138.57,Home,48.0,Non-binary
TXN000150,CUST0422,2024-04-16,74.75,Food,48.0,Non-binary
TXN000589,CUST0422,2024-09-21,59.58,Books,48.0,Non-binary
TXN000920,CUST0422,2025-01-27,96.53,Food,48.0,Non-binary
TXN001129,CUST0422,2024-07-17,71.12,Books,48.0,Non-binary
TXN001177,CUST0422,2024-11-19,194.67,Electronics,48.0,Non-binary
TXN001306,CUST0422,2024-11-27,56.64,Clothing,48.0,Non-binary
TXN001311,CUST0422,2025-01-02,80.36,Clothing,48.0,Non-binary
TXN002017,CUST0422,2024-12-12,80.67,Beauty,48.0,Non-binary
TXN002074,CUST0422,2024-08-01,26.79,Food,48.0,Non-binary
TXN002810,CUST0422,2024-09-01,172.14,Electronics,48.0,Non-binary
TXN004013,CUST0422,2024-06-06,59.33,Clothing,48.0,Non-binary
TXN004424,CUST0422,2025-01-03,174.29,Home,48.0,Non-binary
TXN004444,CUST0422,2025-01-30,142.83,Home,48.0,Non-binary
TXN000023,CUST0012,2024-12-04,237.31,Home,28.0,Male
TXN000124,CUST0012,2024-10-30,61.5,Books,28.0,Male
TXN000325,CUST0012,2024-05-14,65.95,Home,28.0,Male
TXN000450,CUST0012,2024-07-09,50.88,Food,28.0,Male
TXN000701,CUST0012,2024-05-17,164.04,Electronics,28.0,Male
TXN001174,CUST0012,2024-12-21,54.57,Clothing,28.0,Male
TXN001642,CUST0012,2024-11-23,82.6,Clothing,28.0,Male
TXN001682,CUST0012,2025-01-03,114.53,Home,28.0,Male
TXN002473,CUST0012,2024-07-12,125.15,Electronics,28.0,Male
TXN002673,CUST0012,2025-02-07,89.2,Beauty,28.0,Male
TXN003045,CUST0012,2024-08-12,85.57,Beauty,28.0,Male
TXN003644,CUST0012,2024-12-09,24.21,Clothing,28.0,Male
TXN004401,CUST0012,2024-12-13,66.24,Books,28.0,Male
TXN004777,CUST0012,2024-05-27,28.18,Books,28.0,Male
TXN000024,CUST0145,2024-06-06,268.41,Home,57.0,Male
TXN000058,CUST0145,2025-02-13,118.04,Clothing,57.0,Male
TXN000470,CUST0145,2025-01-29,24.54,Books,57.0,Male
TXN000637,CUST0145,2024-08-18,73.45,Books,57.0,Male
TXN000889,CUST0145,2024-10-07,94.52,Clothing,57.0,Male
TXN000980,CUST0145,2024-04-11,98.67,Books,57.0,Male
TXN002749,CUST0145,2024-09-23,107.23,Home,57.0,Male
TXN002945,CUST0145,2024-06-05,101.58,Books,57.0,Male
TXN003092,CUST0145,2024-07-29,153.69,Home,57.0,Male
TXN003396,CUST0145,2024-09-07,76.14,Books,57.0,Male
TXN003413,CUST0145,2024-10-19,47.72,Clothing,57.0,Male
TXN003478,CUST0145,2025-01-29,89.6,Books,57.0,Male
TXN004102,CUST0145,2025-01-28,57.93,Beauty,57.0,Male
TXN004182,CUST0145,2025-01-14,58.79,Books,57.0,Male
TXN004334,CUST0145,2024-05-16,56.24,Clothing,57.0,Male
TXN004543,CUST0145,2024-03-17,78.07,Clothing,57.0,Male
TXN004749,CUST0145,2024-05-16,67.3,Food,57.0,Male
TXN004985,CUST0145,2024-03-15,76.28,Home,57.0,Male
TXN000025,CUST0387,2025-02-17,42.75,Food,62.0,Male
TXN000131,CUST0387,2024-03-30,65.77,Clothing,62.0,Male
TXN000622,CUST0387,2024-08-01,144.01,Electronics,62.0,Male
TXN000768,CUST0387,2025-02-07,81.71,Food,62.0,Male
TXN000833,CUST0387,2024-11-06,132.38,Home,62.0,Male
TXN000994,CUST0387,2024-12-07,140.92,Home,62.0,Male
TXN001295,CUST0387,2024-12-05,84.76,Books,62.0,Male
TXN001522,CUST0387,2024-10-17,162.42,Electronics,62.0,Male
TXN002230,CUST0387,2024-09-11,36.57,Food,62.0,Male
TXN002314,CUST0387,2024-05-27,179.79,Home,62.0,Male
TXN002449,CUST0387,2025-03-05,140.81,Home,62.0,Male
TXN003238,CUST0387,2024-08-17,236.25,Home,62.0,Male
TXN003738,CUST0387,2024-06-25,64.11,Clothing,62.0,Male
TXN004108,CUST0387,2024-03-28,81.41,Food,62.0,Male
TXN004268,CUST0387,2024-07-11,104.21,Clothing,62.0,Male
TXN004302,CUST0387,2024-06-20,85.07,Books,62.0,Male
TXN004345,CUST0387,2024-05-31,37.27,Food,62.0,Male
TXN004809,CUST0387,2024-09-07,46.06,Books,62.0,Male
TXN000026,CUST0378,2024-04-20,50.7,Books,29.0,Female
TXN000437,CUST0378,2024-08-19,195.14,Electronics,29.0,Female
TXN000492,CUST0378,2024-04-26,85.58,Food,29.0,Female
TXN000628,CUST0378,2024-10-28,24.54,Food,29.0,Female
TXN001263,CUST0378,2024-06-26,26.56,Books,29.0,Female
TXN001502,CUST0378,2025-02-14,31.84,Books,29.0,Female
TXN001667,CUST0378,2024-09-12,84.49,Home,29.0,Female
TXN002649,CUST0378,2024-07-19,101.16,Books,29.0,Female
TXN003055,CUST0378,2024-06-10,113.58,Books,29.0,Female
TXN003069,CUST0378,2025-01-05,229.53,Home,29.0,Female
TXN003595,CUST0378,2024-09-24,98.67,Books,29.0,Female
TXN004114,CUST0378,2024-12-07,85.11,Books,29.0,Female
TXN004360,CUST0378,2025-02-23,26.85,Beauty,29.0,Female
TXN004366,CUST0378,2024-07-02,54.92,Beauty,29.0,Female
TXN000027,CUST0273,2024-10-27,83.82,Electronics,69.0,Female
TXN000473,CUST0273,2024-04-17,84.18,Clothing,69.0,Female
TXN000825,CUST0273,2024-09-12,245.95,Home,69.0,Female
TXN001029,CUST0273,2024-10-23,93.35,Electronics,69.0,Female
TXN002088,CUST0273,2024-11-12,26.98,Clothing,69.0,Female
TXN002107,CUST0273,2024-03-19,96.15,Clothing,69.0,Female
TXN002553,CUST0273,2024-08-01,115.03,Home,69.0,Female
TXN002600,CUST0273,2024-04-10,26.17,Food,69.0,Female
TXN002759,CUST0273,2024-09-08,72.18,Books,69.0,Female
TXN003178,CUST0273,2025-01-03,198.79,Electronics,69.0,Female
TXN003299,CUST0273,2025-01-16,85.46,Home,69.0,Female
TXN004819,CUST0273,2024-08-09,41.56,Beauty,69.0,Female
TXN000028,CUST0319,2024-10-05,75.8,Food,66.0,Female
TXN000680,CUST0319,2024-08-16,48.72,Clothing,66.0,Female
TXN001310,CUST0319,2024-09-24,64.78,Beauty,66.0,Female
TXN002294,CUST0319,2025-01-28,58.17,Food,66.0,Female
TXN002447,CUST0319,2024-04-11,35.13,Books,66.0,Female
TXN002617,CUST0319,2024-04-22,192.42,Home,66.0,Female
TXN003285,CUST0319,2024-08-10,135.59,Electronics,66.0,Female
TXN003849,CUST0319,2024-11-01,86.78,Food,66.0,Female
TXN004019,CUST0319,2024-10-24,96.35,Beauty,66.0,Female
TXN004176,CUST0319,2024-05-11,54.24,Clothing,66.0,Female
TXN000029,CUST0072,2024-05-08,52.32,Food,67.0,Female
TXN000824,CUST0072,2024-10-01,51.76,Beauty,67.0,Female
TXN001041,CUST0072,2024-08-17,194.45,Electronics,67.0,Female
TXN001356,CUST0072,2025-01-05,31.43,Food,67.0,Female
TXN001933,CUST0072,2024-05-13,95.04,Books,67.0,Female
TXN001941,CUST0072,2024-11-08,86.32,Clothing,67.0,Female
TXN002155,CUST0072,2024-07-22,82.31,Food,67.0,Female
TXN002777,CUST0072,2024-06-26,102.36,Food,67.0,Female
TXN003805,CUST0072,2025-03-05,100.57,Beauty,67.0,Female
TXN004365,CUST0072,2025-01-17,55.7,Home,67.0,Female
TXN000030,CUST0320,2025-02-06,55.27,Books,19.0,Female
TXN000160,CUST0320,2024-07-21,27.34,Beauty,19.0,Female
TXN000334,CUST0320,2024-07-09,82.4,Beauty,19.0,Female
TXN001105,CUST0320,2024-06-15,27.09,Clothing,19.0,Female
TXN001336,CUST0320,2024-04-15,67.5,Beauty,19.0,Female
TXN001500,CUST0320,2024-09-07,44.04,Beauty,19.0,Female
TXN001595,CUST0320,2024-09-27,97.83,Home,19.0,Female
TXN002792,CUST0320,2024-09-21,201.6,Electronics,19.0,Female
TXN000031,CUST0301,2024-10-08,109.93,Books,57.0,Female
TXN000208,CUST0301,2024-10-19,29.75,Beauty,57.0,Female
TXN000783,CUST0301,2024-08-27,90.76,Food,57.0,Female
TXN000797,CUST0301,2024-05-21,55.13,Beauty,57.0,Female
TXN001080,CUST0301,2025-02-01,47.05,Clothing,57.0,Female
TXN001178,CUST0301,2024-10-17,82.58,Food,57.0,Female
TXN001390,CUST0301,2025-01-17,48.86,Beauty,57.0,Female
TXN001597,CUST0301,2024-08-16,37.95,Clothing,57.0,Female
TXN002059,CUST0301,2025-01-21,67.2,Electronics,57.0,Female
TXN002894,CUST0301,2024-09-20,89.16,Clothing,57.0,Female
TXN003336,CUST0301,2024-04-10,74.83,Books,57.0,Female
TXN003481,CUST0301,2024-06-24,74.83,Beauty,57.0,Female
TXN003532,CUST0301,2024-05-21,111.27,Clothing,57.0,Female
TXN004116,CUST0301,2024-12-18,83.64,Beauty,57.0,Female
TXN000032,CUST0267,2024-10-05,184.14,Electronics,28.0,Male
TXN001631,CUST0267,2024-03-07,61.46,Clothing,28.0,Male
TXN003076,CUST0267,2024-11-28,163.56,Electronics,28.0,Male
TXN003569,CUST0267,2024-09-15,40.15,Books,28.0,Male
TXN004442,CUST0267,2024-06-20,68.25,Food,28.0,Male
TXN004926,CUST0267,2024-07-12,229.07,Electronics,28.0,Male
TXN000034,CUST0202,2024-11-02,49.59,Clothing,28.0,Male
TXN000395,CUST0202,2025-01-01,58.82,Books,28.0,Male
TXN000489,CUST0202,2025-02-16,221.94,Home,28.0,Male
TXN001580,CUST0202,2024-06-14,220.2,Home,28.0,Male
TXN002563,CUST0202,2024-12-12,63.95,Home,28.0,Male
TXN002787,CUST0202,2024-03-14,53.08,Books,28.0,Male
TXN002811,CUST0202,2024-03-19,54.29,Books,28.0,Male
TXN003956,CUST0202,2024-12-19,88.12,Books,28.0,Male
TXN004665,CUST0202,2024-05-28,50.23,Food,28.0,Male
TXN000035,CUST0233,2024-05-21,30.82,Books,69.0,Male
TXN002028,CUST0233,2024-10-07,42.22,Books,69.0,Male
TXN002160,CUST0233,2024-11-11,143.57,Electronics,69.0,Male
TXN002499,CUST0233,2025-01-15,110.55,Food,69.0,Male
TXN002962,CUST0233,2024-07-06,99.07,Beauty,69.0,Male
TXN003907,CUST0233,2024-04-18,122.99,Electronics,69.0,Male
TXN004051,CUST0233,2024-05-21,23.37,Books,69.0,Male
TXN004105,CUST0233,2024-05-19,91.68,Food,69.0,Male
TXN000036,CUST0166,2025-02-27,47.01,Clothing,59.0,Female
TXN001063,CUST0166,2024-06-03,91.15,Home,59.0,Female
TXN001070,CUST0166,2024-08-11,193.19,Electronics,59.0,Female
TXN001783,CUST0166,2024-07-11,316.64,Home,59.0,Female
TXN001833,CUST0166,2025-01-17,72.12,Food,59.0,Female
TXN001878,CUST0166,2024-05-06,86.28,Food,59.0,Female
TXN002336,CUST0166,2024-09-04,79.98,Books,59.0,Female
TXN002422,CUST0166,2024-12-21,54.8,Food,59.0,Female
TXN002863,CUST0166,2024-09-12,82.03,Clothing,59.0,Female
TXN003060,CUST0166,2024-05-05,54.0,Books,59.0,Female
TXN003080,CUST0166,2024-03-22,27.69,Food,59.0,Female
TXN003411,CUST0166,2024-08-08,75.94,Electronics,59.0,Female
TXN003821,CUST0166,2024-04-04,75.43,Books,59.0,Female
TXN004038,CUST0166,2024-08-02,96.82,Food,59.0,Female
TXN004211,CUST0166,2024-10-25,152.18,Electronics,59.0,Female
TXN000037,CUST0482,2024-06-19,95.76,Electronics,51.0,Female
TXN000132,CUST0482,2024-03-30,44.57,Food,51.0,Female
TXN000268,CUST0482,2024-10-07,109.47,Food,51.0,Female
TXN001084,CUST0482,2024-06-16,100.11,Clothing,51.0,Female
TXN001157,CUST0482,2024-12-08,141.49,Electronics,51.0,Female
TXN001313,CUST0482,2024-04-17,37.34,Books,51.0,Female
TXN001992,CUST0482,2024-06-29,60.37,Beauty,51.0,Female
TXN002974,CUST0482,2025-01-28,83.78,Food,51.0,Female
TXN002981,CUST0482,2024-09-08,59.38,Books,51.0,Female
TXN003166,CUST0482,2024-10-15,27.99,Beauty,51.0,Female
TXN003322,CUST0482,2024-09-10,248.81,Electronics,51.0,Female
TXN003574,CUST0482,2024-11-24,140.69,Electronics,51.0,Female
TXN003598,CUST0482,2025-01-30,53.67,Electronics,51.0,Female
TXN003954,CUST0482,2024-09-24,229.59,Home,51.0,Female
TXN004928,CUST0482,2024-09-27,62.31,Electronics,51.0,Female
TXN000038,CUST0123,2024-03-14,286.74,Electronics,25.0,Female
TXN000435,CUST0123,2025-02-25,68.36,Electronics,25.0,Female
TXN000483,CUST0123,2024-09-09,90.44,Beauty,25.0,Female
TXN000915,CUST0123,2024-11-06,128.43,Home,25.0,Female
TXN001441,CUST0123,2025-02-17,183.41,Electronics,25.0,Female
TXN004097,CUST0123,2024-06-25,108.07,Clothing,25.0,Female
TXN004533,CUST0123,2024-12-15,99.96,Home,25.0,Female
TXN004595,CUST0123,2024-04-05,211.74,Electronics,25.0,Female
TXN000039,CUST0178,2025-02-16,93.77,Books,56.0,Female
